Fragment, Score
*N1CCN(C)CC1, 0.0011174053359520302
*c1ccc(N2CCN(C)CC2)nc1, 0.0011174053359520302
*c1ccc(N2CCN(*)CC2)nc1, 0.0011174053359520302
*CN1CCNc2ncc(*)cc21, 0.0011174053359520302
*CN1CCNc2ncc(-c3ccc(*)nc3)cc21, 0.0011174053359520302
*c1ccc(*)nc1, 0.0011174053359520302
*c1ccc(-c2cnc3c(c2)N(*)CCN3)cn1, 0.0011174053359520302
*C1CCCC1, 0.0010886369298714286
*Nc1nccc(Nc2cc(*)ccc2Cl)n1, 0.0010526368584011445
*N(C)C, 0.0010526368584011445
*Nc1ccnc(Nc2ccc(OCC(*)*)cc2)n1, 0.0010526368584011445
*CC(O)CN(*)*, 0.0010526368584011445
*c1ccnc(Nc2ccc(OCC(*)CN(*)*)cc2)n1, 0.0010526368584011445
*c1ccc(OCC(*)CN(*)*)cc1, 0.0010526368584011445
*c1ccc(OCC(O)CN(*)*)cc1, 0.0010526368584011445
*Nc1ccc(OCC(*)CN(*)*)cc1, 0.0010526368584011445
*c1cc(Cl)ccc1Cl, 0.0010526368584011445
*c1ccc(OCC(O)CN(*)C)cc1, 0.0010526368584011445
*c1ccnc(Nc2ccc(OCC(*)O)cc2)n1, 0.0010526368584011445
*Nc1ccc(OCC(O)CN(*)C)cc1, 0.0010526368584011445
*c1ccc(OCC(*)CN(C)C)cc1, 0.0010526368584011445
*OCC(*)*, 0.0010526368584011445
*Nc1nccc(*)n1, 0.0010526368584011445
*OCC(O)CN(*)C, 0.0010526368584011445
*C(*)CN(C)C, 0.0010526368584011445
*COc1ccc(Nc2nccc(*)n2)cc1, 0.0010526368584011445
*Nc1ccc(OCC(*)*)cc1, 0.0010526368584011445
*Nc1ccc(OCC(O)CN(*)*)cc1, 0.0010526368584011445
*c1ccnc(Nc2ccc(OCC(*)*)cc2)n1, 0.0010526368584011445
*Nc1ccnc(*)n1, 0.0010526368584011445
*OCC(*)CN(C)C, 0.0010526368584011445
*c1ccc(OCC(O)CN(C)C)cc1, 0.0010526368584011445
*c1nccc(Nc2cc(Cl)ccc2*)n1, 0.0010526368584011445
*CC(*)CN(*)*, 0.0010526368584011445
*CC(O)COc1ccc(*)cc1, 0.0010526368584011445
*CC(*)COc1ccc(Nc2nccc(N*)n2)cc1, 0.0010526368584011445
*C(O)CN(*)C, 0.0010526368584011445
*c1ccc(Cl)c(Nc2ccnc(*)n2)c1, 0.0010526368584011445
*OCC(*)CN(*)C, 0.0010526368584011445
*OCC(*)O, 0.0010526368584011445
*Nc1nccc(Nc2cc(*)ccc2*)n1, 0.0010526368584011445
*c1ccc(OCC(*)CN(*)C)cc1, 0.0010526368584011445
*CN(*)*, 0.0010526368584011445
*CC(*)CN(*)C, 0.0010526368584011445
*CC(*)CN(C)C, 0.0010526368584011445
*Nc1ccnc(N*)n1, 0.0010526368584011445
*c1ccnc(*)n1, 0.0010526368584011445
*c1nccc(Nc2cc(Cl)ccc2Cl)n1, 0.0010526368584011445
*c1ccc(*)c(Nc2ccnc(*)n2)c1, 0.0010526368584011445
*Nc1ccnc(Nc2ccc(O*)cc2)n1, 0.0010526368584011445
*CC(O)CN(*)C, 0.0010526368584011445
*CN(*)C, 0.0010526368584011445
*OCC(O)CN(*)*, 0.0010526368584011445
*c1ccc(OCC(*)*)cc1, 0.0010526368584011445
*Nc1ccnc(Nc2ccc(*)cc2)n1, 0.0010526368584011445
*c1ccc(OCC(*)O)cc1, 0.0010526368584011445
*CC(O)COc1ccc(N*)cc1, 0.0010526368584011445
*Nc1ccnc(Nc2ccc(OCC(*)O)cc2)n1, 0.0010526368584011445
*CC(*)CO*, 0.0010526368584011445
*COc1ccc(Nc2nccc(N*)n2)cc1, 0.0010526368584011445
*CC(*)COc1ccc(N*)cc1, 0.0010526368584011445
*OCC(O)CN(C)C, 0.0010526368584011445
*Nc1cc(*)ccc1*, 0.0010526368584011445
*Oc1ccc(Nc2nccc(*)n2)cc1, 0.0010526368584011445
*Nc1ccc(OCC(*)O)cc1, 0.0010526368584011445
*CC(O)CO*, 0.0010526368584011445
*c1ccc(Nc2nccc(*)n2)cc1, 0.0010526368584011445
*C(O)CN(C)C, 0.0010526368584011445
*Nc1cc(Cl)ccc1Cl, 0.0010526368584011445
*C(*)CN(*)C, 0.0010526368584011445
*Nc1cc(Cl)ccc1*, 0.0010526368584011445
*OCC(*)CN(*)*, 0.0010526368584011445
*CC(O)COc1ccc(Nc2nccc(*)n2)cc1, 0.0010526368584011445
*Nc1cc(*)ccc1Cl, 0.0010526368584011445
*Nc1nccc(Nc2cc(Cl)ccc2*)n1, 0.0010526368584011445
*Nc1ccc(OCC(*)CN(C)C)cc1, 0.0010526368584011445
*CC(*)O, 0.0010526368584011445
*Nc1ccc(OCC(*)CN(*)C)cc1, 0.0010526368584011445
*CN(C)C, 0.0010526368584011445
*CC(*)COc1ccc(Nc2nccc(*)n2)cc1, 0.0010526368584011445
*C(*)CN(*)*, 0.0010526368584011445
*Nc1ccc(OCC(O)CN(C)C)cc1, 0.0010526368584011445
